[STDERR] 2025/07/08 10:35:54 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:35:55 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:35:56 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:35:57 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:35:58 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:35:59 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:00 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:01 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:02 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:03 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:04 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:05 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:06 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:07 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:08 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:09 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:10 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:11 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:12 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:13 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:14 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:15 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:16 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:17 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:18 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:19 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:20 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:21 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:22 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:23 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:24 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:25 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:26 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:27 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:28 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:29 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:30 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:31 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:32 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:33 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:34 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:35 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:36 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:37 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:38 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:39 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:40 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:41 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:42 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:43 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:44 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:45 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:46 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:47 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:48 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:49 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
[STDERR] 2025/07/08 10:36:50 NOTICE:           0 B / 0 B, -, 0 B/s, ETA -
